"","Name","Pos","Team","Highest Level","kelly","adjkelly","FG Rank"
"91","KYLE HARRISON","SP","SFG","A",0.697,0.0770000000000001,38
"92","ROANSY CONTRERAS","SP","PIT","MLB",0.672,-0.0479999999999999,41
"93","REID DETMETRS","SP","LAA","MLB",0.747,0.027,42
"94","AARON ASHBY","MIRP","MIL","MLB",0.646,-0.074,46
"95","NICK LODOLO","SP","CIN","AAA",0.697,-0.0229999999999999,51
"96","COLE WINN","SP","TEX","AAA",0.672,-0.0479999999999999,52
"97","DANIEL ESPINO","SP","CLE","A+",0.697,0.0770000000000001,54
"98","MAX MEYER","SP","MIA","AAA",0.747,0.027,58
"99","LUIS MEDINA","MIRP","NYY","AA",0.646,-0.074,60
"100","BRANDON WILLIAMSON","MIRP","SEA","AA",0.646,-0.074,61
"101","MATTHEW LIBERATORE","SP","STL","AAA",0.697,-0.0229999999999999,65
"102","EURY PEREZ","SP","MIA","A+",0.596,-0.024,67
"103","CADE CAVALLI","SP","WSN","AAA",0.595,-0.125,74
"104","SIXTO SANCHEZ","SP","MIA","MLB",0.748,0.028,80
"105","COLE HENRY","SIRP","WSN","A+",0.646,0.026,82
"106","OWEN WHITE","SP","TEX","A",0.646,0.026,84
"107","JOSH WINDER","SP","MIN","AAA",0.697,-0.0229999999999999,88
"108","JORDAN BALAZOVIC","SP","MIN","AA",0.596,-0.124,91
"109","BOBBY MILLER","SP","LAD","AA",0.595,-0.125,94
"110","HUNTER BROWN","SP","HOU","AAA",0.495,-0.225,95
"111","SETH JOHNSON","SP","TBR","A",0.469,-0.151,96
"112","ASA LACY","SIRP","KCR","A+",0.444,-0.176,100
"113","QUINN PRIESTER","SP","PIT","A+",0.545,-0.075,102
"114","EDWARD CABRERA","SP","MIA","MLB",0.469,-0.251,107
